Date	Unit	Страна	Объем
2002	mln units	Ukraine	0.050393
2002	mln units	United Kingdom	1.629934
2002	mln units	United States	5.018777
2002	mln units	Uzbekistan	0.022705
2003	mln units	Argentina	0.109364
2003	mln units	Australia	0.365611
2003	mln units	Austria	0.11865
2003	mln units	Belgium	0.791703
2003	mln units	Brazil	1.505139
2003	mln units	Canada	1.340175
2003	mln units	China	2.018875
2003	mln units	Colombia	0.069
2003	mln units	Czech Republic	0.436279
2003	mln units	Egypt	0.032581
2003	mln units	Finland	0.019226
2003	mln units	France	3.220329
2003	mln units	Germany	5.145403
2003	mln units	Hungary	0.122338
2003	mln units	India	0.907968
2003	mln units	Indonesia	0.203196
2003	mln units	Iran	0.51693
2003	mln units	Italy	1.026454
2003	mln units	Kazakhstan	-0.259022176105728
2003	mln units	Japan	8.478328
2003	mln units	Malaysia	0.324911
2003	mln units	Mexico	0.774048
2003	mln units	Morocco	0.370680272082267
2003	mln units	Netherlands	0.16308
2003	mln units	Poland	0.306847
2003	mln units	Portugal	0.165576
2003	mln units	Romania	0.075706
2003	mln units	Russia	1.010436
2003	mln units	Serbia	0.012996
2003	mln units	Slovakia	0.28116
2003	mln units	Slovenia	0.110597
2003	mln units	South Africa	0.291249
2003	mln units	South Korea	2.767716
2003	mln units	Spain	2.399374
2003	mln units	Sweden	0.280394
2003	mln units	Taiwan	0.264837
2003	mln units	Thailand	0.251691
2003	mln units	Turkey	0.294116
2003	mln units	Ukraine	0.103
2003	mln units	United Kingdom	1.657558
2003	mln units	United States	4.510469
2003	mln units	Uzbekistan	0.039196
2004	mln units	Argentina	0.1714
2004	mln units	Australia	0.33751
2004	mln units	Austria	0.227244
2004	mln units	Belgium	0.857119
2004	mln units	Brazil	1.86278
2004	mln units	Canada	1.335516
2004	mln units	China	2.480231
2004	mln units	Colombia	0.069
2004	mln units	Czech Republic	0.443065
2004	mln units	Egypt	0.034591
2004	mln units	Finland	0.010051
2004	mln units	France	3.227416
2004	mln units	Germany	5.192101
2004	mln units	Hungary	0.11859
2004	mln units	India	1.178354
2004	mln units	Indonesia	0.262752
2004	mln units	Iran	0.707773
2004	mln units	Italy	0.833578
2004	mln units	Kazakhstan	-0.240043808925591
2004	mln units	Japan	8.720385
2004	mln units	Malaysia	0.364852
2004	mln units	Mexico	0.903313
2004	mln units	Morocco	0.370680272082267
2004	mln units	Netherlands	0.1876
2004	mln units	Poland	0.523
2004	mln units	Portugal	0.150781
2004	mln units	Romania	0.098997
2004	mln units	Russia	1.110079
2004	mln units	Serbia	0.013266
2004	mln units	Slovakia	0.223542
2004	mln units	Slovenia	0.116609
2004	mln units	South Africa	0.300963
2004	mln units	South Korea	3.1226
2004	mln units	Spain	2.402501
2004	mln units	Sweden	0.290383
2004	mln units	Taiwan	0.299639
2004	mln units	Thailand	0.299439
2004	mln units	Turkey	0.447152
2004	mln units	Ukraine	0.179098
2004	mln units	United Kingdom	1.647246
2004	mln units	United States	4.229625
2004	mln units	Uzbekistan	0.066896
2005	mln units	Argentina	0.182761
2005	mln units	Australia	0.316414
2005	mln units	Austria	0.230505
2005	mln units	Belgium	0.895788
2005	mln units	Brazil	2.009494
2005	mln units	Canada	1.356198
2005	mln units	China	3.078153
2005	mln units	Colombia	0.069
2005	mln units	Czech Republic	0.599472
2005	mln units	Egypt	0.048034
2005	mln units	Finland	0.021233
2005	mln units	France	3.112961
2005	mln units	Germany	5.350187
2005	mln units	Hungary	0.148533
2005	mln units	India	1.264
2005	mln units	Indonesia	0.233492
2005	mln units	Iran	0.725
2005	mln units	Italy	0.725528
2005	mln units	Kazakhstan	-0.221065441745454
2005	mln units	Japan	9.016735
2005	mln units	Malaysia	0.405
2005	mln units	Mexico	0.98984
2005	mln units	Morocco	0.370680272082267
2005	mln units	Netherlands	0.115121
2005	mln units	Poland	0.54
2005	mln units	Portugal	0.137602
2005	mln units	Romania	0.174538
2005	mln units	Russia	1.068145
2005	mln units	Serbia	0.012574
2005	mln units	Slovakia	0.218349
2005	mln units	Slovenia	0.138393
2005	mln units	South Africa	0.324875
2005	mln units	South Korea	3.357094
2005	mln units	Spain	2.098168
2005	mln units	Sweden	0.288659
2005	mln units	Taiwan	0.323819
2005	mln units	Thailand	0.277603
2005	mln units	Turkey	0.453663
2005	mln units	Ukraine	0.196722
2005	mln units	United Kingdom	1.596296
2005	mln units	United States	4.321272
2005	mln units	Uzbekistan	0.087512
2006	mln units	Argentina	0.26312
2006	mln units	Australia	0.27
2006	mln units	Austria	0.248059
2006	mln units	Belgium	0.881929
2006	mln units	Brazil	2.092029
2006	mln units	Canada	1.389536
2006	mln units	China	5.233132
2006	mln units	Colombia	0.069
2006	mln units	Czech Republic	0.848922
2006	mln units	Egypt	0.059462
2006	mln units	Finland	0.032417
2006	mln units	France	2.723196
2006	mln units	Germany	5.398508
2006	mln units	Hungary	0.187633
2006	mln units	India	1.473
2006	mln units	Indonesia	0.256285
2006	mln units	Iran	0.8
2006	mln units	Italy	0.892502
2006	mln units	Kazakhstan	-0.202087074565318
2006	mln units	Japan	9.756515
2006	mln units	Malaysia	0.377952
2006	mln units	Mexico	1.097619
2006	mln units	Morocco	0.370680272082267
2006	mln units	Netherlands	0.087332
2006	mln units	Poland	0.6323
2006	mln units	Portugal	0.143478
2006	mln units	Romania	0.201663
2006	mln units	Russia	1.177918
2006	mln units	Serbia	0.009832
2006	mln units	Slovakia	0.295391
2006	mln units	Slovenia	0.115
2006	mln units	South Africa	0.334482
2006	mln units	South Korea	3.489136
2006	mln units	Spain	2.078639
2006	mln units	Sweden	0.288583
2006	mln units	Taiwan	0.211306
2006	mln units	Thailand	0.298819
2006	mln units	Turkey	0.545682
2006	mln units	Ukraine	0.27486
2006	mln units	United Kingdom	1.442085
2006	mln units	United States	4.36622
2006	mln units	Uzbekistan	0.1
2007	mln units	Argentina	0.350735
2007	mln units	Australia	0.283348
2007	mln units	Austria	0.199969
2007	mln units	Belgium	0.789674
2007	mln units	Brazil	2.391354
2007	mln units	Canada	1.342133
2007	mln units	China	6.381116
2007	mln units	Colombia	0.069
2007	mln units	Czech Republic	0.92506
2007	mln units	Egypt	0.068934
