Экспортеры	стоимость Импорта в 2023	Доля импорта в 2023
Всего	15039352	100
Китай	11658264	77,5183931
Япония	1701714	11,3150753
Республика Корея	651612	4,33271327
Армения	378577	2,51724276
Казахстан	193262	1,28504207
Германия	173567	1,15408563
Словакия	85506	0,56854843
Кыргызстан	52549	0,34941
Объединенные Арабские Эмираты	41122	0,27342933
Литва	22330	0,14847714
Эстония	14992	0,09968515
Турция	14106	0,09379393
Польша	8284	0,05508216
Финляндия	7247	0,04818692
Китайский Тайбэй	6351	0,04222921
