Date	measure	Country	Volume
1994	mln units	Spain	13.734
1994	mln units	France	27.7619
1994	mln units	Croatia	0.698
1994	mln units	Italy	29.665308
1994	mln units	Cyprus	0.2104
1994	mln units	Latvia	0.2516
1994	mln units	Lithuania	0.65281
1994	mln units	Luxembourg	0.229037
1994	mln units	Hungary	2.185316
1994	mln units	Malta	0.1633
1994	mln units	Netherlands	5.5808
1994	mln units	Austria	3.4797
1994	mln units	Poland	7.1531
1994	mln units	Portugal	4.692002035815
1994	mln units	Romania	2.02
1994	mln units	Slovenia	0.668307
1994	mln units	Slovakia	0.994
1994	mln units	Finland	1.8726
1994	mln units	Sweden	3.5942
1994	mln units	United Kingdom	21.113864
1994	mln units	Iceland	0.0998613348164788
1994	mln units	Liechtenstein	0.018
1994	mln units	Norway	1.44585700867697
1994	mln units	Switzerland	3.165042
1994	mln units	North Macedonia	0.202432284510124
1994	mln units	Albania	-0.594528244022043
1994	mln units	Serbia	0.319441917832813
1994	mln units	Türkiye	2.8616
1994	mln units	Bosnia and Herzegovina	0.498488759752926
1995	mln units	Belgium	4.2734
1995	mln units	Bulgaria	2.43573239163355
1995	mln units	Czechia	3.0433
1995	mln units	Denmark	1.679
1995	mln units	Germany	40.4043
1995	mln units	Estonia	0.382444
1995	mln units	Ireland	0.9904
1995	mln units	Greece	2.2048
1995	mln units	Spain	14.212
1995	mln units	France	27.8722
1995	mln units	Croatia	0.7678
1995	mln units	Italy	30.301424
1995	mln units	Cyprus	0.2197
1995	mln units	Latvia	0.332
1995	mln units	Lithuania	0.718469
1995	mln units	Luxembourg	0.231666
1995	mln units	Hungary	2.245395
1995	mln units	Malta	0.1733
1995	mln units	Netherlands	5.6644
1995	mln units	Austria	3.589
1995	mln units	Poland	7.5173
1995	mln units	Portugal	4.692002035815
1995	mln units	Romania	2.1975
1995	mln units	Slovenia	0.711364
1995	mln units	Slovakia	1.0158
1995	mln units	Finland	1.90086
1995	mln units	Sweden	3.6308
1995	mln units	United Kingdom	21.362027
1995	mln units	Iceland	0.106745276618047
1995	mln units	Liechtenstein	0.019
1995	mln units	Norway	1.49881585229007
1995	mln units	Switzerland	3.229176
1995	mln units	North Macedonia	0.211186169701007
1995	mln units	Albania	-0.550535786403694
1995	mln units	Serbia	0.39041792116294
1995	mln units	Türkiye	3.0585
1995	mln units	Bosnia and Herzegovina	0.515844099919901
1996	mln units	Belgium	4.3392
1996	mln units	Bulgaria	2.43573239163355
1996	mln units	Czechia	3.1925
1996	mln units	Denmark	1.7389
1996	mln units	Germany	40.987
1996	mln units	Estonia	0.406598
1996	mln units	Ireland	1.0574
1996	mln units	Greece	2.3394
1996	mln units	Spain	14.754
1996	mln units	France	28.0171
1996	mln units	Croatia	0.841
1996	mln units	Italy	29.910932
1996	mln units	Cyprus	0.2268
1996	mln units	Latvia	0.3799
1996	mln units	Lithuania	0.785088
1996	mln units	Luxembourg	0.236831
1996	mln units	Hungary	2.264165
1996	mln units	Malta	0.1607
1996	mln units	Netherlands	5.74
1996	mln units	Austria	3.69
1996	mln units	Poland	8.0544
1996	mln units	Portugal	4.692002035815
1996	mln units	Romania	2.326
1996	mln units	Slovenia	0.743057
1996	mln units	Slovakia	1.0584
1996	mln units	Finland	1.94275
1996	mln units	Sweden	3.6549
1996	mln units	United Kingdom	22.257163
1996	mln units	Iceland	0.113629218419615
1996	mln units	Liechtenstein	0.019
1996	mln units	Norway	1.55177469590318
1996	mln units	Switzerland	3.268093
1996	mln units	North Macedonia	0.21994005489189
1996	mln units	Albania	-0.506543328785345
1996	mln units	Serbia	0.461393924493066
1996	mln units	Türkiye	3.2742
1996	mln units	Bosnia and Herzegovina	0.533199440086876
1997	mln units	Belgium	4.4153
1997	mln units	Bulgaria	2.43573239163355
1997	mln units	Czechia	3.3915
1997	mln units	Denmark	1.7831
1997	mln units	Germany	41.372
1997	mln units	Estonia	0.427678
1997	mln units	Ireland	1.1344
1997	mln units	Greece	2.5001
1997	mln units	Spain	15.297
1997	mln units	France	28.2014
1997	mln units	Croatia	0.9391
1997	mln units	Italy	30.154914
1997	mln units	Cyprus	0.235
1997	mln units	Latvia	0.4318
1997	mln units	Lithuania	0.882101
1997	mln units	Luxembourg	0.244129
1997	mln units	Hungary	2.297115
1997	mln units	Malta	0.1777
1997	mln units	Netherlands	5.9314
1997	mln units	Austria	3.7825
1997	mln units	Poland	8.5334
1997	mln units	Portugal	4.692002035815
1997	mln units	Romania	2.4471
1997	mln units	Slovenia	0.776798
1997	mln units	Slovakia	1.1359
1997	mln units	Finland	1.94813
1997	mln units	Sweden	3.7012
1997	mln units	United Kingdom	22.957398
1997	mln units	Iceland	0.120513160221183
1997	mln units	Liechtenstein	0.02
1997	mln units	Norway	1.60473353951629
1997	mln units	Switzerland	3.323455
1997	mln units	North Macedonia	0.228693940082774
1997	mln units	Albania	-0.462550871166997
1997	mln units	Serbia	0.532369927823193
1997	mln units	Türkiye	3.5701
1997	mln units	Bosnia and Herzegovina	0.550554780253851
1998	mln units	Belgium	4.4917
1998	mln units	Bulgaria	2.43573239163355
1998	mln units	Czechia	3.493
1998	mln units	Denmark	1.8171
1998	mln units	Germany	41.6738
1998	mln units	Estonia	0.450954
1998	mln units	Ireland	1.1969
1998	mln units	Greece	2.675676
1998	mln units	Spain	16.051
1998	mln units	France	28.6274
1998	mln units	Croatia	1.0013
1998	mln units	Italy	31.056004
1998	mln units	Cyprus	0.2492
1998	mln units	Latvia	0.4827
1998	mln units	Lithuania	0.98091
1998	mln units	Luxembourg	0.253406
1998	mln units	Hungary	2.21801
1998	mln units	Malta	0.1748
1998	mln units	Netherlands	6.1196
1998	mln units	Austria	3.8872
1998	mln units	Poland	8.8908
1998	mln units	Portugal	4.692002035815
1998	mln units	Romania	2.5946
1998	mln units	Slovenia	0.811671
1998	mln units	Slovakia	1.1961
1998	mln units	Finland	2.02112
1998	mln units	Sweden	3.7907
1998	mln units	United Kingdom	23.503619
1998	mln units	Iceland	0.127397102022751
1998	mln units	Liechtenstein	0.02
1998	mln units	Norway	1.65769238312939
1998	mln units	Switzerland	3.383307
1998	mln units	North Macedonia	0.237447825273657
1998	mln units	Albania	-0.418558413548648
1998	mln units	Serbia	0.603345931153319
1998	mln units	Türkiye	3.8383
1998	mln units	Bosnia and Herzegovina	0.567910120420826
1999	mln units	Belgium	4.5836
1999	mln units	Bulgaria	2.43573239163355
1999	mln units	Czechia	3.4397
1999	mln units	Denmark	1.8433
1999	mln units	Germany	42.3237
1999	mln units	Estonia	0.4587
1999	mln units	Ireland	1.2692
