Date	Unit	Country	Volume
1996	mln units	Bulgaria	2.866763
1996	mln units	Canada	15.3761231535081
1996	mln units	Croatia	0.835714
1996	mln units	Cyprus	0.227
1996	mln units	Czechia	3.192532
1996	mln units	Denmark	1.738427
1996	mln units	Estonia	0.526453063083611
1996	mln units	Finland	1.929
1996	mln units	France	25.5
1996	mln units	Georgia	0.352628698229106
1996	mln units	Germany	40.988
1996	mln units	Greece	2.341
1996	mln units	Hungary	2.26518
1996	mln units	Iceland	0.125
1996	mln units	Ireland	1.0575
1996	mln units	Israel	2.862636
1996	mln units	Italy	30.47
1996	mln units	Kazakhstan	0.0399279575497881
1996	mln units	Latvia	0.379895
1996	mln units	Liechtenstein	0.019
1996	mln units	Lithuania	1.49491755622738
1996	mln units	Luxembourg	0.2423086
1996	mln units	Malta	0.147018796696269
1996	mln units	Moldova, Republic of	0.0079
1996	mln units	Montenegro	0.184734851178523
1996	mln units	Netherlands	5.81
1996	mln units	Norway	1.661
1996	mln units	Poland	8.054448
1996	mln units	Portugal	4.69300201133182
1996	mln units	Romania	2.391869
1996	mln units	Russian Federation	15.46428
1996	mln units	San Marino	23.792564
1996	mln units	Serbia	1.51010373857634
1996	mln units	Slovakia	1.135914
1996	mln units	Slovenia	0.7272
1996	mln units	Spain	14.753
1996	mln units	Sweden	3.655
1996	mln units	Switzerland	3.267
1996	mln units	The former Yugoslav Republic of Macedonia	0.28433
1996	mln units	Turkey	2.48089257090038
1996	mln units	Ukraine	4.653526
1996	mln units	United Kingdom	22.271
1997	mln units	Albania	0.111838173913043
1997	mln units	Austria	3.783163
1997	mln units	Azerbaijan	0.28696875
1997	mln units	Belarus	2.96e-05
1997	mln units	Belgium	4.415
1997	mln units	Bosnia and Herzegovina	0.388152967920434
1997	mln units	Bulgaria	2.866763
1997	mln units	Canada	15.7221644850978
1997	mln units	Croatia	0.9322
1997	mln units	Cyprus	0.235
1997	mln units	Czechia	3.391541
1997	mln units	Denmark	1.782348
1997	mln units	Estonia	0.4277
1997	mln units	Finland	1.935
1997	mln units	France	26.09
1997	mln units	Georgia	0.388217773996478
1997	mln units	Germany	41.191
1997	mln units	Greece	2.498
1997	mln units	Hungary	2.297413
1997	mln units	Iceland	0.132
1997	mln units	Ireland	1.1335
1997	mln units	Israel	2.862636
1997	mln units	Italy	30.747
1997	mln units	Kazakhstan	0.0376592948200285
1997	mln units	Latvia	0.431624
1997	mln units	Liechtenstein	0.02
1997	mln units	Lithuania	1.49491755622738
1997	mln units	Luxembourg	0.2493064
1997	mln units	Malta	0.153860253611115
1997	mln units	Moldova, Republic of	0.0082
1997	mln units	Montenegro	0.184734851178523
1997	mln units	Netherlands	5.931387
1997	mln units	Norway	1.757839
1997	mln units	Poland	8.5334
1997	mln units	Portugal	4.69300201133182
1997	mln units	Romania	2.52812991666667
1997	mln units	Russian Federation	14.449096
1997	mln units	San Marino	23.792564
1997	mln units	Serbia	1.51010373857634
1997	mln units	Slovakia	1.135914
1997	mln units	Slovenia	0.779
1997	mln units	Spain	15.298
1997	mln units	Sweden	3.701
1997	mln units	Switzerland	3.323
1997	mln units	The former Yugoslav Republic of Macedonia	0.2892
1997	mln units	Turkey	2.84578123931659
1997	mln units	Ukraine	4.788239
1997	mln units	United Kingdom	22.83
1998	mln units	Albania	0.127117565217391
1998	mln units	Austria	4.056
1998	mln units	Azerbaijan	0.3009375
1998	mln units	Belarus	2.96e-05
1998	mln units	Belgium	4.491
1998	mln units	Bosnia and Herzegovina	0.412883780842104
1998	mln units	Bulgaria	2.866763
1998	mln units	Canada	16.0682058166876
1998	mln units	Croatia	1
1998	mln units	Cyprus	0.249
1998	mln units	Czechia	3.492961
1998	mln units	Denmark	1.817
1998	mln units	Estonia	0.7993
1998	mln units	Finland	2.008
1998	mln units	France	8.609
1998	mln units	Georgia	0.423806849763849
1998	mln units	Germany	41.674
1998	mln units	Greece	2.674
1998	mln units	Hungary	2.219167
1998	mln units	Iceland	0.14
1998	mln units	Ireland	1.196
1998	mln units	Israel	2.862636
1998	mln units	Italy	31.572
1998	mln units	Kazakhstan	0.035390632090269
1998	mln units	Latvia	0.483
1998	mln units	Liechtenstein	0.021
1998	mln units	Lithuania	1.49491755622738
1998	mln units	Luxembourg	0.2563042
1998	mln units	Malta	0.028451
1998	mln units	Moldova, Republic of	0.0081
1998	mln units	Montenegro	0.184734851178523
1998	mln units	Netherlands	6.119581
1998	mln units	Norway	1.786
1998	mln units	Poland	8.891
1998	mln units	Portugal	4.69300201133182
1998	mln units	Romania	2.66439083333333
1998	mln units	Russian Federation	14.449096
1998	mln units	San Marino	23.792564
1998	mln units	Serbia	1.51010373857634
1998	mln units	Slovakia	1.135914
1998	mln units	Slovenia	0.814
1998	mln units	Spain	16.05
1998	mln units	Sweden	3.791
1998	mln units	Switzerland	3.383
1998	mln units	The former Yugoslav Republic of Macedonia	0.289
1998	mln units	Turkey	3.2106699077328
1998	mln units	Ukraine	4.922952
1998	mln units	United Kingdom	23.294
1999	mln units	Albania	0.142396956521739
1999	mln units	Austria	4.009
1999	mln units	Azerbaijan	0.31490625
1999	mln units	Belarus	2.96e-05
1999	mln units	Belgium	4.584
1999	mln units	Bosnia and Herzegovina	0.437614593763775
1999	mln units	Bulgaria	2.866763
1999	mln units	Canada	16.4142471482774
1999	mln units	Croatia	1.059
1999	mln units	Cyprus	0.257
1999	mln units	Czechia	3.44
1999	mln units	Denmark	1.843
1999	mln units	Estonia	0.459
1999	mln units	Finland	2.069
1999	mln units	France	27.48
1999	mln units	Georgia	0.45939592553122
1999	mln units	Germany	42.324
1999	mln units	Greece	2.789
1999	mln units	Hungary	2.256
1999	mln units	Iceland	0.151
1999	mln units	Ireland	1.2695
1999	mln units	Israel	2.862636
1999	mln units	Italy	32.04
1999	mln units	Kazakhstan	0.034247
1999	mln units	Latvia	0.526
1999	mln units	Liechtenstein	0.001
1999	mln units	Lithuania	1.49491755622738
1999	mln units	Luxembourg	0.263302
1999	mln units	Malta	0.182642
1999	mln units	Moldova, Republic of	0.0079
1999	mln units	Montenegro	0.184734851178523
1999	mln units	Netherlands	6.343
1999	mln units	Norway	1.814
1999	mln units	Poland	9.283
1999	mln units	Portugal	4.69300201133182
1999	mln units	Romania	2.80065175
1999	mln units	Russian Federation	14.449096
1999	mln units	San Marino	23.792564
1999	mln units	Serbia	1.51010373857634
1999	mln units	Slovakia	1.135914
1999	mln units	Slovenia	0.849
1999	mln units	Spain	16.847
1999	mln units	Sweden	3.89044
1999	mln units	Switzerland	3.467
1999	mln units	The former Yugoslav Republic of Macedonia	0.29
1999	mln units	Turkey	3.57555857614901
1999	mln units	Ukraine	5.057665
1999	mln units	United Kingdom	23.975
2000	mln units	Albania	0.157676347826087
2000	mln units	Austria	4.097
2000	mln units	Azerbaijan	0.328875
2000	mln units	Belarus	2.96e-05
2000	mln units	Belgium	4.678
2000	mln units	Bosnia and Herzegovina	0.462345406685445
2000	mln units	Bulgaria	2.866763
2000	mln units	Canada	16.762533
2000	mln units	Croatia	1.119
2000	mln units	Cyprus	0.267
2000	mln units	Czechia	3.4388
2000	mln units	Denmark	1.854
2000	mln units	Estonia	0.464
2000	mln units	Finland	2.121
2000	mln units	France	28.195
2000	mln units	Georgia	0.494985001298591
2000	mln units	Germany	43.772
2000	mln units	Greece	2.904
2000	mln units	Hungary	2.365
2000	mln units	Iceland	0.159
2000	mln units	Ireland	1.32
2000	mln units	Israel	2.862636
2000	mln units	Italy	32.585
2000	mln units	Kazakhstan	0.036991
2000	mln units	Latvia	0.5568
2000	mln units	Liechtenstein	0.022
2000	mln units	Lithuania	1.49491755622738
2000	mln units	Luxembourg	0.27309
2000	mln units	Malta	0.189123
2000	mln units	Moldova, Republic of	0.0074
2000	mln units	Montenegro	0.184734851178523
2000	mln units	Netherlands	6.54
2000	mln units	Norway	1.716
2000	mln units	Poland	9.9913
2000	mln units	Portugal	4.69300201133182
2000	mln units	Romania	2.93691266666667
2000	mln units	Russian Federation	14.449096
2000	mln units	San Marino	23.792564
2000	mln units	Serbia	1.51010373857634
2000	mln units	Slovakia	1.135914
2000	mln units	Slovenia	0.869
2000	mln units	Spain	17.449
2000	mln units	Sweden	3.99844
2000	mln units	Switzerland	3.545
2000	mln units	The former Yugoslav Republic of Macedonia	0.3
2000	mln units	Turkey	3.94044724456523
2000	mln units	Ukraine	5.192378
2000	mln units	United Kingdom	24.386
2001	mln units	Albania	0.172955739130435
2001	mln units	Austria	4.182169
2001	mln units	Azerbaijan	0.3545508
2001	mln units	Belarus	2.96e-05
2001	mln units	Belgium	4.74
2001	mln units	Bosnia and Herzegovina	0.487076219607116
2001	mln units	Bulgaria	2.866763
2001	mln units	Canada	17.0221846
2001	mln units	Croatia	1.185
2001	mln units	Cyprus	0.28
2001	mln units	Czechia	3.5297
2001	mln units	Denmark	1.872
2001	mln units	Estonia	0.4072
2001	mln units	Finland	2.146
2001	mln units	France	28.845
2001	mln units	Georgia	0.530574077065962
2001	mln units	Germany	44.383
2001	mln units	Greece	3.019
2001	mln units	Hungary	2.4828
2001	mln units	Iceland	0.16
2001	mln units	Ireland	1.384
2001	mln units	Israel	2.862636
2001	mln units	Italy	33.239
2001	mln units	Kazakhstan	0.042734
2001	mln units	Latvia	0.5862
2001	mln units	Liechtenstein	0.022
2001	mln units	Lithuania	1.49491755622738
2001	mln units	Luxembourg	0.28127
2001	mln units	Malta	0.1955115
2001	mln units	Moldova, Republic of	0.0076
2001	mln units	Montenegro	0.184734851178523
2001	mln units	Netherlands	6.711
2001	mln units	Norway	1.78125
2001	mln units	Poland	10.5031
2001	mln units	Portugal	4.69300201133182
2001	mln units	Romania	3.07317358333333
2001	mln units	Russian Federation	14.449096
2001	mln units	San Marino	23.792564
2001	mln units	Serbia	1.51010373857634
2001	mln units	Slovakia	1.135914
2001	mln units	Slovenia	0.885
2001	mln units	Spain	18.151
2001	mln units	Sweden	4.01936
2001	mln units	Switzerland	3.628
2001	mln units	The former Yugoslav Republic of Macedonia	0.31
2001	mln units	Turkey	4.30533591298144
2001	mln units	Ukraine	5.2241004
2001	mln units	United Kingdom	25.101
2002	mln units	Albania	0.188235130434783
2002	mln units	Austria	3.987
2002	mln units	Azerbaijan	0.3802266
2002	mln units	Belarus	2.96e-05
2002	mln units	Belgium	4.787
2002	mln units	Bosnia and Herzegovina	0.511807032528787
2002	mln units	Bulgaria	2.866763
2002	mln units	Canada	17.2818362
2002	mln units	Croatia	1.228
2002	mln units	Cyprus	0.287
2002	mln units	Czechia	3.6473
2002	mln units	Denmark	1.888
2002	mln units	Estonia	0.4007
2002	mln units	Finland	2.18
2002	mln units	France	29.306
2002	mln units	Georgia	0.566163152833333
2002	mln units	Germany	44.653
2002	mln units	Greece	3.134
2002	mln units	Hungary	2.6295
2002	mln units	Iceland	0.162
2002	mln units	Ireland	1.447
2002	mln units	Israel	2.862636
2002	mln units	Italy	33.707
2002	mln units	Kazakhstan	0.048241
2002	mln units	Latvia	0.6191
2002	mln units	Liechtenstein	0.023
2002	mln units	Lithuania	1.49491755622738
2002	mln units	Luxembourg	0.28625
2002	mln units	Malta	0.2019
2002	mln units	Moldova, Republic of	0.0081
2002	mln units	Montenegro	0.184734851178523
2002	mln units	Netherlands	6.855
2002	mln units	Norway	1.8465
2002	mln units	Poland	10.8735
2002	mln units	Portugal	4.69300201133182
2002	mln units	Romania	3.2094345
2002	mln units	Russian Federation	14.449096
2002	mln units	San Marino	23.792564
2002	mln units	Serbia	1.51010373857634
2002	mln units	Slovakia	1.135914
2002	mln units	Slovenia	0.9146
2002	mln units	Spain	18.733
2002	mln units	Sweden	4.04322
2002	mln units	Switzerland	3.701
2002	mln units	The former Yugoslav Republic of Macedonia	0.0659
2002	mln units	Turkey	4.67022458139765
2002	mln units	Ukraine	5.2558228
2002	mln units	United Kingdom	25.753
2003	mln units	Albania	0.20351452173913
2003	mln units	Austria	4.054
2003	mln units	Azerbaijan	0.4059024
2003	mln units	Belarus	2.96e-05
2003	mln units	Belgium	4.821
2003	mln units	Bosnia and Herzegovina	0.536537845450457
2003	mln units	Bulgaria	2.866763
2003	mln units	Canada	17.5414878
2003	mln units	Croatia	1.282
2003	mln units	Cyprus	0.303
2003	mln units	Czechia	3.70603
2003	mln units	Denmark	2.05388966666667
2003	mln units	Estonia	0.434
2003	mln units	Finland	2.259
2003	mln units	France	29.708
2003	mln units	Georgia	0.601752228600704
2003	mln units	Germany	45.021
2003	mln units	Greece	3.249
2003	mln units	Hungary	2.778
2003	mln units	Iceland	0.167
2003	mln units	Ireland	1.507
2003	mln units	Israel	2.862636
2003	mln units	Italy	34.311
2003	mln units	Kazakhstan	0.053274
2003	mln units	Latvia	0.6489
2003	mln units	Liechtenstein	0.02353
2003	mln units	Lithuania	1.49491755622738
2003	mln units	Luxembourg	0.29322
2003	mln units	Malta	0.205441
2003	mln units	Moldova, Republic of	0.0088
2003	mln units	Montenegro	0.184734851178523
2003	mln units	Netherlands	6.909
2003	mln units	Norway	1.91175
2003	mln units	Poland	11.2439
2003	mln units	Portugal	4.69300201133182
2003	mln units	Romania	3.34569541666667
2003	mln units	Russian Federation	14.449096
2003	mln units	San Marino	0.02682
2003	mln units	Serbia	1.51010373857634
2003	mln units	Slovakia	1.135914
2003	mln units	Slovenia	0.91
2003	mln units	Spain	18.688
2003	mln units	Sweden	4.07611
2003	mln units	Switzerland	3.754
2003	mln units	The former Yugoslav Republic of Macedonia	0.3
2003	mln units	Turkey	5.03511324981386
2003	mln units	Ukraine	5.2875452
2003	mln units	United Kingdom	26.205
2004	mln units	Albania	0.218793913043478
2004	mln units	Austria	4.109
2004	mln units	Azerbaijan	0.4315782
2004	mln units	Belarus	2.96e-05
2004	mln units	Belgium	4.875
2004	mln units	Bosnia and Herzegovina	0.561268658372128
2004	mln units	Bulgaria	2.866763
2004	mln units	Canada	17.8011394
2004	mln units	Croatia	1.329
2004	mln units	Cyprus	0.336
2004	mln units	Czechia	3.816
2004	mln units	Denmark	2.21977933333333
2004	mln units	Estonia	0.471
2004	mln units	Finland	2.331
2004	mln units	France	30.048
2004	mln units	Georgia	0.637341304368075
2004	mln units	Germany	45.375
2004	mln units	Greece	3.364
2004	mln units	Hungary	2.829
2004	mln units	Iceland	0.175
2004	mln units	Ireland	1.583
2004	mln units	Israel	2.862636
2004	mln units	Italy	33.973
2004	mln units	Kazakhstan	0.49083975
2004	mln units	Latvia	0.6861
2004	mln units	Liechtenstein	0.02394
2004	mln units	Lithuania	1.49491755622738
2004	mln units	Luxembourg	0.29924
2004	mln units	Malta	0.208982
2004	mln units	Moldova, Republic of	0.2745
2004	mln units	Montenegro	0.184734851178523
2004	mln units	Netherlands	6.992
2004	mln units	Norway	1.977
2004	mln units	Poland	11.975
2004	mln units	Portugal	4.69300201133182
2004	mln units	Romania	3.48195633333333
2004	mln units	Russian Federation	14.449096
2004	mln units	San Marino	29.734
2004	mln units	Serbia	1.51010373857634
2004	mln units	Slovakia	1.135914
2004	mln units	Slovenia	0.933
2004	mln units	Spain	19.542
2004	mln units	Sweden	4.11408
2004	mln units	Switzerland	3.81
2004	mln units	The former Yugoslav Republic of Macedonia	0.2766
2004	mln units	Turkey	5.4
2004	mln units	Ukraine	5.3192676
2004	mln units	United Kingdom	27.028034
2005	mln units	Albania	0.234073304347826
2005	mln units	Austria	4.157
2005	mln units	Azerbaijan	0.457254
2005	mln units	Belarus	2.96e-05
2005	mln units	Belgium	4.941
2005	mln units	Bosnia and Herzegovina	0.585999471293798
2005	mln units	Bulgaria	2.866763
2005	mln units	Canada	18.060791
2005	mln units	Croatia	1.374
2005	mln units	Cyprus	0.355
2005	mln units	Czechia	3.958
2005	mln units	Denmark	2.385669
2005	mln units	Estonia	0.4937
2005	mln units	Finland	2.414
2005	mln units	France	30.248
2005	mln units	Georgia	0.672930380135446
2005	mln units	Germany	46.09
2005	mln units	Greece	3.479
2005	mln units	Hungary	2.913
2005	mln units	Iceland	0.205
2005	mln units	Ireland	1.733
2005	mln units	Israel	2.862636
2005	mln units	Italy	34.667
2005	mln units	Kazakhstan	0.9284055
2005	mln units	Latvia	0.7425
2005	mln units	Liechtenstein	0.024382
2005	mln units	Lithuania	1.49491755622738
2005	mln units	Luxembourg	0.30729
2005	mln units	Malta	0.212523
2005	mln units	Moldova, Republic of	0.292994
2005	mln units	Montenegro	0.184734851178523
2005	mln units	Netherlands	7.092
2005	mln units	Norway	2.028
2005	mln units	Poland	12.339
2005	mln units	Portugal	4.69300201133182
2005	mln units	Romania	3.61821725
2005	mln units	Russian Federation	14.449096
2005	mln units	San Marino	5.968256
2005	mln units	Serbia	1.51010373857634
2005	mln units	Slovakia	1.135914
2005	mln units	Slovenia	0.96
2005	mln units	Spain	20.25
2005	mln units	Sweden	4.15335
2005	mln units	Switzerland	3.861
2005	mln units	The former Yugoslav Republic of Macedonia	0.2532
2005	mln units	Turkey	5.773
2005	mln units	Ukraine	5.35099
2005	mln units	United Kingdom	27.520399
2006	mln units	Albania	0.249352695652174
2006	mln units	Austria	4.205
2006	mln units	Azerbaijan	0.529866666666667
2006	mln units	Belarus	2.96e-05
2006	mln units	Belgium	4.989
2006	mln units	Bosnia and Herzegovina	0.610730284215469
2006	mln units	Bulgaria	2.866763
2006	mln units	Canada	18.4908596666667
2006	mln units	Croatia	1.426
2006	mln units	Cyprus	0.373
2006	mln units	Czechia	4.109
2006	mln units	Denmark	2.45068966666667
2006	mln units	Estonia	0.554
2006	mln units	Finland	2.489
2006	mln units	France	30.557
2006	mln units	Georgia	0.708519455902817
2006	mln units	Germany	46.414
2006	mln units	Greece	3.594
2006	mln units	Hungary	3.214
2006	mln units	Iceland	0.209153333333333
2006	mln units	Ireland	1.883
2006	mln units	Israel	2.862636
2006	mln units	Italy	35.298
2006	mln units	Kazakhstan	1.36597125
2006	mln units	Latvia	0.82201
2006	mln units	Liechtenstein	0.02429
2006	mln units	Lithuania	1.49491755622738
2006	mln units	Luxembourg	0.31542
2006	mln units	Malta	0.217924
2006	mln units	Moldova, Republic of	0.319311
2006	mln units	Montenegro	0.184734851178523
2006	mln units	Netherlands	7.23
2006	mln units	Norway	2.083
2006	mln units	Poland	13.384
2006	mln units	Portugal	4.69300201133182
2006	mln units	Romania	3.75447816666667
2006	mln units	Russian Federation	14.449096
2006	mln units	San Marino	5.968256
2006	mln units	Serbia	1.512
2006	mln units	Slovakia	1.135914
2006	mln units	Slovenia	0.98
2006	mln units	Spain	21.052
2006	mln units	Sweden	4.20293
2006	mln units	Switzerland	3.901
2006	mln units	The former Yugoslav Republic of Macedonia	0.2423
2006	mln units	Turkey	6.141
2006	mln units	Ukraine	5.60609233333333
2006	mln units	United Kingdom	27.83
2007	mln units	Albania	0.264632086956522
2007	mln units	Austria	4.245
